iter	Logloss
0	0.673917163
1	0.6579394133
2	0.6419896112
3	0.6271947849
4	0.6144838361
5	0.6021120513
6	0.5900869192
7	0.5820279065
8	0.5751672364
9	0.5667288375
10	0.5597483894
11	0.5544843854
12	0.5496714641
13	0.5451264397
14	0.5412039441
15	0.5372004733
16	0.5348380873
17	0.5332800656
18	0.5299803495
19	0.5288130385
20	0.5264369626
21	0.5244637801
22	0.5229354973
23	0.5210634802
24	0.5203052994
25	0.5188303181
26	0.5182952666
27	0.5181275973
28	0.5173933336
29	0.5168390391
30	0.5159867741
31	0.5144656424
32	0.5129533365
33	0.5120362885
34	0.511745903
35	0.5111989105
36	0.5110156905
37	0.5104157515
38	0.5094941267
39	0.5085691027
40	0.5078678869
41	0.5073162498
42	0.5069909484
43	0.5067703329
44	0.5063291294
45	0.5059413114
46	0.5055723615
47	0.505141574
48	0.5048571528
49	0.5046423342
50	0.5042331129
51	0.5038704646
52	0.5036091228
53	0.5032292589
54	0.5029767464
55	0.5025422979
56	0.5023493735
57	0.5020423443
58	0.501862297
59	0.5016648627
60	0.5012451668
61	0.5010145215
62	0.5004967161
63	0.5001174379
64	0.4999188258
65	0.4998463597
66	0.4993903306
67	0.499250729
68	0.499017811
69	0.498628706
70	0.4984087155
71	0.4981989327
72	0.4980218392
73	0.4977305532
74	0.4975256749
75	0.4973763235
76	0.4971933138
77	0.4970092372
78	0.4968920762
79	0.4966903346
80	0.4965394533
81	0.4962587331
82	0.4961362442
83	0.495998523
84	0.4958900833
85	0.4957512307
86	0.4955815287
87	0.4954467756
88	0.4953164395
89	0.4951088138
90	0.4949753207
91	0.4947668893
92	0.4945874943
93	0.4944209733
94	0.4942040314
95	0.4941745043
96	0.4940393405
97	0.493939513
98	0.493773975
99	0.4937447829
100	0.4935735713
101	0.4934384274
102	0.4932774692
103	0.4932130951
104	0.4932117633
105	0.4930762527
106	0.4930058355
107	0.4928950452
108	0.492744738
109	0.4925908384
110	0.4924165348
111	0.4922051938
112	0.4920665042
113	0.4919698687
114	0.4917816537
115	0.4917789495
116	0.4916384133
117	0.4914426846
118	0.4913401423
119	0.4911901208
120	0.4910311644
121	0.4910141696
122	0.4908575356
123	0.4907230313
124	0.4905356447
125	0.490420012
126	0.4902401313
127	0.490099687
128	0.4899905379
129	0.4898472076
130	0.4897382249
131	0.4895856381
132	0.4895147571
133	0.4893937099
134	0.4893291585
135	0.4891369915
136	0.489047058
137	0.4889851131
138	0.4888716402
139	0.4887161301
140	0.4885757539
141	0.4884635058
142	0.488308733
143	0.4882703212
144	0.4879713709
145	0.4877522007
146	0.4876431137
147	0.4875306438
148	0.4873829617
149	0.48728203
150	0.4871478447
151	0.4870635033
152	0.4869478029
153	0.4868134145
154	0.4866676194
155	0.4864882466
156	0.4864370057
157	0.4863227466
158	0.4861296144
159	0.486047344
160	0.4858619891
161	0.4857529974
162	0.4856640012
163	0.4855056894
164	0.485302013
165	0.4851804153
166	0.4850506006
167	0.4848965552
168	0.4847901649
169	0.4847051716
170	0.4846000498
171	0.4844581853
172	0.4843389662
173	0.484226638
174	0.4841087894
175	0.4839376409
176	0.4837782642
177	0.483593359
178	0.4835178259
179	0.48344307
180	0.4833111896
181	0.4831634674
182	0.4830656048
183	0.482996555
184	0.4828840841
185	0.4827884819
186	0.4826302004
187	0.4825771308
188	0.4824550867
189	0.4823395279
190	0.4822725605
191	0.482079121
192	0.4819304782
193	0.4818189539
194	0.4817351543
195	0.4816133616
196	0.4815185737
197	0.4814420316
198	0.4813218462
199	0.4812060557
200	0.4810854474
201	0.4809605878
202	0.4809163452
203	0.4808057085
204	0.4806796398
205	0.4805653837
206	0.4804851493
207	0.4803606236
208	0.480308725
209	0.4801196351
210	0.4800636283
211	0.4799141058
212	0.4797550794
213	0.4796202686
214	0.4794203159
215	0.4793401466
216	0.4793088489
217	0.4791742814
218	0.4790917269
219	0.4790187664
220	0.4788934262
221	0.4788027974
222	0.4787114433
223	0.4785564862
224	0.4784462032
225	0.4782814118
226	0.4782805336
227	0.4781174619
228	0.4780256303
229	0.4778990634
230	0.4778359937
231	0.4776708627
232	0.4775782583
233	0.4774760562
234	0.4774133748
235	0.4773410172
236	0.4772389208
237	0.4770921823
238	0.4770521953
239	0.4769099599
240	0.4769078086
241	0.4767232916
242	0.4765747957
243	0.4764370463
244	0.476347871
245	0.4762833565
246	0.476180832
247	0.4761077952
248	0.4759841034
249	0.4758796255
250	0.4757379451
251	0.4756262545
252	0.475491908
253	0.475386879
254	0.4753266394
255	0.4752630369
256	0.4751402807
257	0.475018547
258	0.4749445756
259	0.4749031666
260	0.4748122499
261	0.4747216119
262	0.4746285968
263	0.4745367592
264	0.4744533199
265	0.4743571532
266	0.4742644076
267	0.4741943809
268	0.4741117276
269	0.4739996992
270	0.4738792779
271	0.4737312999
272	0.4736299559
273	0.473534564
274	0.4735215505
275	0.4734467594
276	0.473362176
277	0.4733006835
278	0.473205844
279	0.4730962898
280	0.4729143564
281	0.4727907315
282	0.4727334345
283	0.4726236468
284	0.4725203015
285	0.4723815006
286	0.472316924
