iter	Passed	Remaining
0	5	5540
1	10	5218
2	15	5269
3	21	5231
4	26	5211
5	31	5199
6	36	5150
7	41	5131
8	47	5233
9	53	5342
10	59	5321
11	66	5512
12	72	5511
13	77	5491
14	83	5477
15	89	5497
16	95	5542
17	103	5632
18	111	5757
19	117	5746
20	123	5752
21	129	5736
22	135	5758
23	140	5730
24	147	5768
25	153	5756
26	159	5741
27	163	5658
28	168	5640
29	174	5637
30	179	5623
31	185	5607
32	190	5596
33	197	5608
34	202	5592
35	208	5587
36	215	5603
37	220	5588
38	227	5596
39	230	5541
40	237	5546
41	243	5562
42	249	5547
43	254	5525
44	259	5513
45	265	5497
46	270	5485
47	275	5454
48	280	5444
49	286	5434
50	291	5423
51	296	5406
52	301	5393
53	307	5389
54	312	5372
55	318	5368
56	324	5367
57	329	5355
58	334	5341
59	341	5344
60	347	5350
61	352	5335
62	357	5315
63	364	5324
64	369	5321
65	376	5324
66	381	5315
67	387	5307
68	393	5307
69	398	5298
70	404	5296
71	409	5279
72	414	5269
73	421	5269
74	428	5281
75	435	5292
76	441	5288
77	446	5277
78	452	5272
79	457	5263
80	462	5250
81	468	5240
82	473	5230
83	479	5224
84	485	5222
85	490	5216
86	495	5204
87	501	5198
88	507	5193
89	512	5179
90	517	5173
91	523	5162
92	528	5153
93	535	5157
94	540	5145
95	544	5130
96	550	5128
97	555	5114
98	560	5104
99	564	5084
100	569	5072
101	574	5058
102	579	5050
103	584	5039
104	587	5007
105	592	4993
106	597	4985
107	602	4974
108	606	4961
109	612	4953
110	617	4942
111	622	4931
112	626	4919
113	632	4914
114	637	4904
115	640	4879
116	646	4876
117	651	4868
118	656	4858
119	661	4852
120	667	4848
121	670	4825
122	675	4814
123	680	4807
124	685	4798
125	690	4791
126	696	4785
127	701	4776
128	706	4767
129	710	4757
130	715	4746
131	719	4734
132	724	4725
133	729	4712
134	734	4705
135	738	4694
136	744	4688
137	749	4681
138	755	4677
139	760	4672
140	766	4668
141	771	4663
142	778	4664
143	782	4654
144	788	4650
145	794	4647
146	799	4640
147	804	4633
148	810	4629
149	815	4623
150	820	4615
151	826	4610
152	831	4601
153	836	4593
154	842	4592
155	847	4586
156	852	4577
157	857	4572
158	862	4564
159	868	4558
160	873	4550
161	877	4537
162	882	4529
163	886	4521
164	892	4517
165	897	4511
166	903	4504
167	908	4500
168	913	4492
169	918	4486
170	924	4481
171	929	4473
172	933	4464
173	939	4459
174	944	4451
175	949	4444
176	954	4437
177	959	4430
178	964	4425
179	970	4419
180	974	4411
181	979	4402
182	984	4395
183	989	4386
184	994	4379
185	998	4371
186	1004	4366
187	1008	4357
188	1014	4351
189	1019	4346
190	1024	4339
191	1029	4331
192	1034	4325
193	1039	4318
194	1044	4311
195	1049	4304
196	1054	4298
197	1059	4292
198	1064	4286
199	1070	4280
200	1075	4274
201	1080	4266
202	1085	4260
203	1090	4254
204	1095	4247
205	1100	4241
206	1105	4233
207	1110	4227
208	1115	4220
209	1119	4212
210	1124	4204
211	1129	4198
212	1134	4192
213	1139	4185
214	1144	4178
215	1150	4176
216	1154	4166
217	1160	4161
218	1166	4159
219	1172	4156
220	1177	4152
221	1184	4150
222	1189	4145
223	1194	4139
224	1200	4135
225	1205	4127
226	1207	4113
227	1213	4108
228	1217	4100
229	1223	4094
230	1227	4087
231	1233	4082
232	1237	4074
233	1242	4067
234	1247	4060
235	1252	4054
236	1257	4046
237	1263	4044
238	1268	4038
239	1273	4032
240	1276	4019
241	1281	4013
242	1286	4007
243	1291	4002
244	1296	3996
245	1301	3990
246	1307	3986
247	1315	3987
248	1320	3983
249	1325	3977
250	1331	3971
251	1335	3965
252	1341	3959
253	1346	3953
254	1350	3945
255	1355	3938
256	1360	3932
257	1366	3929
258	1371	3922
259	1377	3919
260	1381	3912
261	1387	3907
262	1394	3906
263	1399	3901
264	1405	3899
265	1411	3894
266	1418	3893
267	1423	3887
268	1428	3882
269	1433	3875
270	1439	3871
271	1443	3864
272	1448	3858
273	1453	3851
274	1458	3844
275	1463	3837
276	1468	3832
277	1473	3826
278	1478	3820
279	1483	3814
280	1488	3809
281	1493	3802
282	1498	3796
283	1503	3790
284	1508	3784
285	1513	3777
286	1518	3772
287	1523	3767
288	1529	3761
289	1534	3756
290	1539	3750
291	1545	3746
292	1550	3741
293	1556	3736
294	1561	3732
295	1567	3727
296	1573	3723
297	1578	3718
298	1586	3718
299	1591	3714
300	1597	3709
301	1603	3706
302	1608	3700
303	1614	3697
304	1620	3691
305	1625	3686
306	1630	3680
307	1636	3675
308	1641	3670
309	1646	3665
310	1651	3659
311	1657	3654
312	1661	3647
313	1667	3642
314	1672	3636
315	1677	3630
316	1682	3624
317	1687	3618
318	1692	3612
319	1697	3606
320	1702	3600
321	1707	3595
322	1712	3589
323	1717	3583
324	1722	3577
325	1727	3572
326	1733	3566
327	1737	3560
328	1742	3554
329	1748	3548
330	1752	3542
331	1757	3536
332	1763	3531
333	1767	3525
334	1772	3519
335	1777	3513
336	1782	3507
337	1787	3501
338	1793	3497
339	1798	3490
340	1803	3484
341	1807	3478
342	1813	3472
343	1817	3466
344	1822	3460
345	1828	3455
346	1833	3450
347	1838	3444
348	1844	3439
349	1848	3433
350	1854	3428
351	1859	3423
352	1864	3417
353	1869	3411
354	1874	3405
355	1878	3399
356	1883	3393
357	1888	3386
358	1893	3381
359	1898	3375
360	1903	3369
361	1908	3364
362	1913	3358
363	1918	3352
364	1923	3346
365	1928	3340
366	1933	3335
367	1938	3329
368	1943	3322
369	1947	3316
370	1952	3311
371	1958	3306
372	1963	3300
373	1968	3294
374	1973	3289
375	1979	3284
376	1984	3279
377	1990	3275
378	1996	3271
379	2001	3265
380	2009	3264
381	2014	3259
382	2020	3254
383	2025	3249
384	2030	3242
385	2035	3237
386	2040	3231
387	2045	3225
388	2049	3219
389	2055	3214
390	2060	3208
391	2064	3202
392	2069	3197
393	2074	3191
394	2079	3184
395	2083	3178
396	2089	3173
397	2094	3167
398	2099	3161
399	2104	3156
400	2109	3151
401	2114	3145
402	2120	3141
403	2126	3136
404	2131	3131
405	2136	3126
406	2141	3120
407	2146	3114
408	2152	3110
409	2157	3105
410	2163	3099
411	2168	3094
412	2173	3088
413	2177	3082
414	2183	3077
415	2188	3071
416	2192	3065
417	2198	3060
418	2203	3054
419	2208	3049
420	2213	3043
421	2217	3037
422	2222	3031
423	2227	3026
424	2232	3020
425	2237	3015
426	2242	3009
427	2248	3005
428	2254	3000
429	2259	2994
430	2264	2989
431	2269	2984
432	2274	2978
433	2279	2973
434	2284	2967
435	2289	2961
436	2294	2955
437	2299	2950
438	2304	2944
439	2309	2939
440	2313	2933
441	2318	2927
442	2323	2921
443	2328	2915
444	2332	2909
445	2338	2904
446	2343	2898
447	2348	2894
448	2353	2888
449	2360	2884
450	2365	2879
451	2370	2874
452	2375	2868
453	2381	2863
454	2386	2858
455	2391	2852
456	2396	2847
457	2401	2842
458	2406	2836
459	2413	2832
460	2418	2827
461	2423	2821
462	2428	2816
463	2433	2811
464	2438	2806
465	2444	2800
466	2449	2795
467	2455	2791
468	2460	2786
469	2465	2780
470	2470	2774
471	2476	2770
472	2481	2764
473	2487	2760
474	2492	2754
475	2497	2748
476	2502	2743
477	2507	2738
478	2512	2733
479	2517	2727
480	2523	2722
481	2528	2717
482	2533	2712
483	2538	2706
484	2544	2701
485	2549	2696
486	2554	2690
487	2559	2685
488	2564	2680
489	2570	2675
490	2575	2670
491	2580	2664
492	2586	2659
493	2590	2653
494	2596	2648
495	2601	2643
496	2607	2639
497	2613	2634
498	2619	2629
499	2624	2624
500	2630	2619
501	2635	2614
502	2642	2611
503	2649	2607
504	2655	2602
505	2660	2597
506	2666	2593
507	2672	2588
508	2677	2582
509	2683	2578
510	2688	2573
511	2694	2567
512	2700	2563
513	2705	2558
514	2711	2553
515	2717	2548
516	2722	2543
517	2727	2538
518	2733	2533
519	2738	2528
520	2744	2523
521	2750	2518
522	2756	2514
523	2763	2510
524	2769	2505
525	2775	2501
526	2783	2497
527	2788	2493
528	2794	2488
529	2800	2483
530	2807	2479
531	2813	2474
532	2818	2469
533	2825	2465
534	2830	2460
535	2836	2455
536	2840	2449
537	2846	2444
538	2852	2439
539	2858	2434
540	2865	2431
541	2871	2426
542	2878	2422
543	2884	2417
544	2890	2413
545	2896	2408
546	2902	2403
547	2908	2398
548	2913	2393
549	2919	2388
550	2925	2383
551	2930	2378
552	2935	2373
553	2941	2368
554	2947	2363
555	2953	2358
556	2959	2353
557	2964	2348
558	2970	2343
559	2976	2338
560	2981	2333
561	2987	2327
562	2992	2322
563	2997	2317
564	3003	2312
565	3008	2306
566	3014	2301
567	3019	2296
568	3025	2291
569	3032	2287
570	3038	2283
571	3045	2278
572	3050	2273
573	3056	2268
574	3062	2263
575	3068	2258
576	3074	2254
577	3080	2248
578	3086	2244
579	3091	2238
580	3098	2234
581	3104	2229
582	3110	2224
583	3115	2219
584	3121	2214
585	3127	2209
586	3132	2203
587	3139	2199
588	3145	2194
589	3150	2189
590	3156	2184
591	3162	2179
592	3167	2173
593	3173	2169
594	3179	2164
595	3186	2159
596	3192	2155
597	3198	2150
598	3204	2144
599	3209	2139
600	3215	2134
601	3221	2130
602	3227	2124
603	3234	2120
604	3242	2116
605	3247	2111
606	3254	2106
607	3259	2101
608	3265	2096
609	3271	2091
610	3276	2086
611	3282	2081
612	3288	2075
613	3294	2070
614	3299	2065
615	3305	2060
616	3310	2054
617	3315	2049
618	3321	2044
619	3326	2039
620	3333	2034
621	3339	2029
622	3345	2024
623	3352	2020
624	3358	2014
625	3363	2009
626	3368	2003
627	3374	1998
628	3379	1993
629	3384	1987
630	3389	1982
631	3396	1977
632	3402	1972
633	3407	1967
634	3412	1961
635	3418	1956
636	3423	1950
637	3429	1945
638	3434	1940
639	3439	1934
640	3447	1930
641	3453	1925
642	3459	1920
643	3465	1915
644	3470	1910
645	3476	1905
646	3482	1899
647	3487	1894
648	3493	1889
649	3498	1883
650	3503	1878
651	3509	1873
652	3514	1867
653	3520	1862
654	3526	1857
655	3531	1851
656	3536	1846
657	3542	1841
658	3547	1835
659	3552	1830
660	3558	1825
661	3563	1819
662	3569	1814
663	3574	1808
664	3581	1804
665	3587	1799
666	3594	1794
667	3600	1789
668	3607	1784
669	3612	1779
670	3618	1773
671	3624	1769
672	3629	1763
673	3634	1758
674	3640	1752
675	3646	1747
676	3651	1742
677	3659	1737
678	3664	1732
679	3669	1726
680	3674	1721
681	3679	1715
682	3684	1710
683	3689	1704
684	3695	1699
685	3701	1694
686	3707	1689
687	3714	1684
688	3720	1679
689	3725	1673
690	3731	1668
691	3738	1663
692	3743	1658
693	3749	1653
694	3755	1648
695	3761	1642
696	3766	1637
697	3772	1632
698	3777	1626
699	3783	1621
700	3788	1616
701	3794	1610
702	3800	1605
703	3806	1600
704	3811	1595
705	3817	1589
706	3822	1584
707	3828	1578
708	3834	1573
709	3839	1568
710	3844	1562
711	3851	1557
712	3856	1552
713	3863	1547
714	3869	1542
715	3875	1537
716	3881	1531
717	3887	1526
718	3892	1521
719	3898	1515
720	3903	1510
721	3910	1505
722	3916	1500
723	3921	1495
724	3926	1489
725	3932	1484
726	3937	1478
727	3943	1473
728	3948	1467
729	3954	1462
730	3961	1457
731	3966	1452
732	3971	1446
733	3977	1441
734	3983	1436
735	3988	1430
736	3994	1425
737	4001	1420
738	4007	1415
739	4014	1410
740	4020	1405
741	4026	1400
742	4032	1394
743	4038	1389
744	4044	1384
745	4051	1379
746	4057	1374
747	4063	1368
748	4069	1363
749	4075	1358
750	4080	1352
751	4085	1347
752	4090	1341
753	4096	1336
754	4102	1331
755	4108	1326
756	4114	1320
757	4120	1315
758	4127	1310
759	4133	1305
760	4138	1299
761	4144	1294
762	4150	1289
763	4156	1283
764	4161	1278
765	4166	1272
766	4173	1267
767	4178	1262
768	4184	1256
769	4191	1251
770	4197	1246
771	4202	1241
772	4209	1236
773	4214	1230
774	4219	1225
775	4225	1219
776	4231	1214
777	4236	1209
778	4242	1203
779	4247	1198
780	4253	1192
781	4258	1187
782	4264	1181
783	4271	1176
784	4277	1171
785	4284	1166
786	4290	1161
787	4296	1155
788	4302	1150
789	4309	1145
790	4314	1140
791	4323	1135
792	4328	1129
793	4334	1124
794	4339	1118
795	4344	1113
796	4350	1108
797	4355	1102
798	4360	1096
799	4366	1091
800	4373	1086
801	4379	1081
802	4385	1075
803	4390	1070
804	4396	1064
805	4403	1059
806	4409	1054
807	4414	1048
808	4419	1043
809	4425	1038
810	4432	1032
811	4437	1027
812	4443	1022
813	4448	1016
814	4454	1011
815	4459	1005
816	4465	1000
817	4471	994
818	4477	989
819	4485	984
820	4490	979
821	4496	973
822	4501	968
823	4506	962
824	4512	957
825	4518	951
826	4524	946
827	4531	941
828	4538	936
829	4543	930
830	4549	925
831	4554	919
832	4560	914
833	4565	908
834	4571	903
835	4577	897
836	4583	892
837	4589	887
838	4595	881
839	4601	876
840	4606	870
841	4612	865
842	4617	859
843	4622	854
844	4629	849
845	4634	843
846	4640	838
847	4646	832
848	4651	827
849	4656	821
850	4663	816
851	4669	811
852	4674	805
853	4681	800
854	4687	794
855	4693	789
856	4699	784
857	4704	778
858	4710	773
859	4715	767
860	4720	762
861	4728	756
862	4734	751
863	4739	746
864	4745	740
865	4750	735
866	4755	729
867	4760	723
868	4766	718
869	4772	713
870	4778	707
871	4783	702
872	4788	696
873	4794	691
874	4801	685
875	4809	680
876	4815	675
877	4821	670
878	4828	664
879	4834	659
880	4839	653
881	4845	648
882	4851	642
883	4858	637
884	4864	632
885	4870	626
886	4876	621
887	4881	615
888	4887	610
889	4893	604
890	4899	599
891	4905	593
892	4911	588
893	4916	582
894	4922	577
895	4927	571
896	4933	566
897	4938	560
898	4943	555
899	4948	549
900	4953	544
901	4958	538
902	4963	533
903	4968	527
904	4973	522
905	4978	516
906	4983	511
907	4988	505
